EmbeddingDimension,RepitionIndex,TrainingFraction,TrainACC,TrainAUC,TestACC,TestAUC,Label
16,1,0.25,0.98529326915741,0.997502863407135,0.785123944282532,0.858172297477722,LearntEmbedding
16,1,1,0.993734776973724,0.999469876289368,0.834710717201233,0.894337773323059,LearntEmbedding
16,2,0.25,0.99910569190979,0.999993801116943,0.768595039844513,0.824363231658935,LearntEmbedding
16,2,0.5,0.965687870979309,0.994614243507385,0.78925621509552,0.853971719741821,LearntEmbedding
16,2,0.75,0.994759917259216,0.999499022960663,0.801652908325195,0.86438775062561,LearntEmbedding
16,2,1,0.889253258705139,0.954529941082001,0.851239681243897,0.919950842857361,LearntEmbedding
16,5,0.75,0.994316101074219,0.999455630779266,0.838842988014221,0.889317750930786,LearntEmbedding
16,5,1,0.993585705757141,0.999408900737762,0.78925621509552,0.863773047924042,LearntEmbedding
16,5,0.25,0.993799328804016,0.999678552150726,0.809917330741882,0.857523441314697,LearntEmbedding
16,5,0.5,0.855457842350006,0.929463148117065,0.780991733074188,0.829451560974121,LearntEmbedding
4,3,0.5,0.98305755853653,0.997516214847565,0.780991733074188,0.841062784194946,LearntEmbedding
4,3,0.25,0.995488584041595,0.999681413173676,0.752066135406494,0.816576659679413,LearntEmbedding
4,3,1,0.931524813175201,0.981731593608856,0.793388426303864,0.892732739448547,LearntEmbedding
4,3,0.75,0.994899034500122,0.999564528465271,0.785123944282532,0.871217787265778,LearntEmbedding
4,4,1,0.873791396617889,0.942320168018341,0.880165278911591,0.916125953197479,LearntEmbedding
4,4,0.75,0.995137512683868,0.999443054199219,0.776859521865845,0.829997897148132,LearntEmbedding
4,4,0.5,0.990321457386017,0.999037146568298,0.822314023971558,0.879789650440216,LearntEmbedding
4,4,0.25,0.885645031929016,0.954491198062897,0.776859521865845,0.835735261440277,LearntEmbedding
4,5,1,0.911472141742706,0.970919609069824,0.793388426303864,0.839082062244415,LearntEmbedding
4,5,0.25,0.998012602329254,0.999909937381744,0.764462828636169,0.843145906925201,LearntEmbedding
4,5,0.75,0.995925843715668,0.999535143375397,0.809917330741882,0.876374661922455,LearntEmbedding
4,5,0.5,0.988781213760376,0.998316168785095,0.809917330741882,0.885219573974609,LearntEmbedding
